Method,TrainData,TestData,lexiconAcc,lexiconF1
Roberta_IG,nrc_joy,nrc_joy,0.488,0.459
Roberta_IG,nrc_joy,amazon_finefood_subset,0.54,0.538
Roberta_IG,nrc_joy,amazon_toys_subset,0.564,0.574
Roberta_IG,nrc_joy,song_joy,0.485,0.449
Roberta_IG,nrc_joy,dialog_joy,0.592,0.607
Roberta_IG,nrc_joy,friends_joy,0.571,0.582
Roberta_IG,nrc_joy,emobank,0.55,0.557
Roberta_IG,nrc_joy,sst2,0.507,0.671
Roberta_IG,amazon_finefood_subset,nrc_joy,0.507,0.422
Roberta_IG,amazon_finefood_subset,amazon_finefood_subset,0.513,0.487
Roberta_IG,amazon_finefood_subset,amazon_toys_subset,0.512,0.494
Roberta_IG,amazon_finefood_subset,song_joy,0.465,0.421
Roberta_IG,amazon_finefood_subset,dialog_joy,0.517,0.542
Roberta_IG,amazon_finefood_subset,friends_joy,0.54,0.513
Roberta_IG,amazon_finefood_subset,emobank,0.527,0.55
Roberta_IG,amazon_finefood_subset,sst2,0.526,0.679
Roberta_IG,amazon_toys_subset,nrc_joy,0.515,0.52
Roberta_IG,amazon_toys_subset,amazon_finefood_subset,0.542,0.561
Roberta_IG,amazon_toys_subset,amazon_toys_subset,0.554,0.581
Roberta_IG,amazon_toys_subset,song_joy,0.465,0.44
Roberta_IG,amazon_toys_subset,dialog_joy,0.541,0.566
Roberta_IG,amazon_toys_subset,friends_joy,0.487,0.445
Roberta_IG,amazon_toys_subset,emobank,0.517,0.518
Roberta_IG,amazon_toys_subset,sst2,0.521,0.678
Roberta_IG,nrc_surprise,nrc_surprise,0.497,0.369
Roberta_IG,nrc_surprise,song_surprise,0.437,0.366
Roberta_IG,nrc_surprise,dialog_surprise,0.504,0.483
Roberta_IG,nrc_surprise,friends_surprise,0.479,0.478
Roberta_IG,nrc_sadness,nrc_sadness,0.53,0.509
Roberta_IG,nrc_sadness,song_sadness,0.527,0.456
Roberta_IG,nrc_sadness,dialog_sadness,0.65,0.624
Roberta_IG,nrc_sadness,friends_sadness,0.595,0.551
Roberta_IG,nrc_fear,nrc_fear,0.452,0.454
Roberta_IG,nrc_fear,song_fear,0.504,0.452
Roberta_IG,nrc_fear,dialog_fear,0.525,0.467
Roberta_IG,nrc_fear,friends_fear,0.49,0.408
Roberta_IG,nrc_anger,nrc_anger,0.513,0.469
Roberta_IG,nrc_anger,song_anger,0.511,0.433
Roberta_IG,nrc_anger,dialog_anger,0.54,0.515
Roberta_IG,nrc_anger,friends_anger,0.53,0.499
